target,acid_group,acid_pka,base_group,base_pKa,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
0,0,14,0,0,10.47384083,-3.398778187,10.47384083,0.047574641,0.45331274,246.306,232.194,246.0231802,86,0,0.263887109,-0.270318833,0.270318833,0.263887109,0.785714286,1.071428571,1.285714286,32.24123634,10.34146961,2.023701348,-2.011690972,1.963741236,-2.069707404,7.857285089,0.273295888,3.4084654,304.518019,11.24264069,8.094413448,9.72740661,6.207106781,3.89384685,7.526840012,2.759305623,6.047206724,1.133494151,2.323132185,0.624724706,1.465925826,-0.18,13.82,5.640369804,11.82,84.45985657,0,0,0,0,20.23625372,0,8.366170865,0,16.83559397,0,0,12.84164325,0,25.7253023,25.20176483,20.23625372,0,0,0,12.84164325,25.7253023,0,0,0,0,0,0,0,42.56089626,28.60242458,0,12.84164325,0,0,0,0,86.74,20.23625372,16.83559397,0,13.21376393,12.84164325,12.51153837,0,0,0,8.366170865,0,50.7528194,0,0,0,0,0,0,2.782921023,0.095149282,-6.797556374,1,14,0,6,0,0,0,0,0,0,6,0,8,7,0,0,0,0,-0.281,50.8256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
0,1,10.12,0,0,12.20703808,0.004919874,12.20703808,0.004919874,0.739742671,356.506,324.25,356.2351449,142,0,0.305574266,-0.507956032,0.507956032,0.305574266,1.269230769,2.115384615,2.923076923,16.54462838,9.551639097,2.55653714,-2.500267196,2.611867149,-2.447541912,5.691884969,-0.157265234,1.512982431,682.0305457,18.31119031,16.16912309,16.16912309,12.5250238,10.53904341,10.53904341,9.002531507,9.002531507,7.631318231,7.631318231,6.252992061,6.252992061,-1.51,17.88155731,6.902001637,2.934771876,156.6872267,9.843390349,11.85347822,0,0,0,5.969305288,4.794537184,0,0,0,26.33466309,85.95910662,11.83581209,0,14.63792753,5.969305288,0,0,17.25080256,83.65674144,0,29.32600419,0,5.749511833,0,0,5.749511833,0,17.17979907,15.95222176,17.25080256,82.25885641,18.19910121,0,0,0,46.53,0,9.901064579,0,17.48826215,29.92405159,32.10410811,30.38936785,0,12.13273414,19.91384147,4.736862954,5.978820135,0,12.20703808,9.807234705,2.955709893,2.372561236,5.967912995,9.467549307,4.49317365,0,0.695652174,26,1,3,3,0,3,1,0,1,3,1,3,4,2,0,2,4,5.3503,102.1288,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,14,0,0,12.66322031,0.057886052,12.66322031,0.057886052,0.501759124,412.614,372.294,412.2977451,166,0,0.305585143,-0.461769626,0.461769626,0.305585143,1,1.8,2.6,16.54463997,9.471674067,2.594644118,-2.573743868,2.65190349,-2.512773298,5.912487794,-0.159751684,1.254035658,732.3902103,20.93251065,19.08834142,19.08834142,14.39865059,12.83362202,12.83362202,11.75837479,11.75837479,10.38019257,10.38019257,8.543465652,8.543465652,-1.12,20.76438678,7.781388394,3.389542475,181.9455766,4.736862954,6.103966388,5.783244946,0,0,5.969305288,9.589074368,0,0,0,45.10386542,86.52920774,18.25663372,0,14.32593732,11.75255023,0,0,34.50160512,109.8429435,0,11.64912464,0,0,0,0,0,0,17.85651662,14.32593732,34.50160512,103.7389771,11.64912464,0,0,0,43.37,0,9.589074368,0,22.90325261,24.03987866,43.93992021,56.93967751,0,6.076020107,13.8474744,4.736862954,6.174225678,0,24.67508808,0,1.8305312,3.281220035,0,17.83642315,4.869178527,0,0.851851852,30,0,3,5,0,5,0,0,0,3,0,3,4,4,0,4,5,6.4005,117.782,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,11.95,0,0,12.41473049,-1.572424598,12.41473049,0.006200542,0.685142539,374.477,344.237,374.2093241,148,0,0.189629163,-0.392760695,0.392760695,0.189629163,1.333333333,2.037037037,2.703703704,16.31582452,9.445203963,2.679802974,-2.603787741,2.672783979,-2.619454522,6.008883207,-0.179757138,1.781065864,753.8020968,19.7756564,16.31247343,16.31247343,12.58118823,10.08134462,10.08134462,9.720132783,9.720132783,8.573709145,8.573709145,7.343284087,7.343284087,-1.3,19.03545387,5.849728674,2.280906401,159.7062502,15.31958218,12.20793278,11.56648989,0,0,0,9.589074368,0,0,0,32.42033624,55.58904484,16.74788698,6.103966388,24.90865655,11.56648989,0,0,34.50160512,58.15951529,6.606881965,23.80116485,0,0,0,0,0,0,45.19797124,9.589074368,34.50160512,46.45449809,23.80116485,0,0,0,94.83,29.51013458,24.90865655,0,34.8698596,12.84164325,18.41474778,0,12.15204021,12.99975731,13.8474744,0,0,0,24.36887667,31.86273626,-1.590015996,-0.07678451,0,6.86850999,5.483344247,0,0.727272727,27,3,5,4,0,4,0,0,0,5,3,5,2,3,0,3,4,1.8036,99.5954,0,3,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,7.62,0,0,12.00273526,-1.202708333,12.00273526,0.140185185,0.56048836,238.287,220.143,238.1317424,94,0,0.327632479,-0.276803084,0.327632479,0.276803084,1.294117647,1.823529412,2.235294118,16.19767094,9.692389233,2.520585943,-2.373976728,2.367058883,-2.639736138,6.18984785,-0.147639059,3.113648891,342.762242,13.05204176,10.20787253,10.20787253,7.984434886,5.763802883,5.763802883,4.391247091,4.391247091,3.29375085,3.29375085,2.304897456,2.304897456,-1.65,13.41514658,5.119875231,2.226951331,100.6424708,0,5.414990469,0,11.81435946,0,6.031114512,20.22265158,4.794537184,0,6.578935684,26.34431613,18.75954929,0,0,14.38361155,17.84547397,0,10.63357721,11.33289652,33.10993927,0,12.65495579,0,0,10.63357721,4.794537184,0,0,17.84547397,9.589074368,11.33289652,33.10993927,12.65495579,0,0,0,75.27,23.26046444,14.38361155,0,12.33872767,0,12.84164325,0,6.076020107,13.8474744,17.21251289,0,0,0,35.07214813,4.334297052,-1.202708333,-1.182592593,-0.746865079,3.386573365,7.422480789,0,0.583333333,17,2,5,0,1,1,0,0,0,3,2,5,5,0,1,1,1,1.3511,63.0004,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,1,9.9,0,0,13.38511409,-1.436270499,13.38511409,0.030064203,0.429829258,588.562,556.306,588.1842911,226,0,0.309940386,-0.501699479,0.501699479,0.309940386,0.880952381,1.571428571,2.261904762,16.75431621,9.657683374,2.556729926,-2.473103113,2.566239959,-2.628380688,5.786321584,-0.364153898,1.318237005,1352.53256,29.28336361,23.1283478,23.1283478,20.2824273,13.77714419,13.77714419,10.98822167,10.98822167,8.745948151,8.745948151,6.735400781,6.735400781,-3.33,27.50005152,10.43580172,4.258657173,240.2294879,57.95134877,24.41586555,35.57810079,12.54245414,0,5.969305288,4.794537184,0,0,0,0,47.87955995,11.83581209,39.45523145,62.74588595,5.969305288,0,0,11.83581209,55.94152864,34.22630132,40.95582275,0,28.74755917,18.94745182,0,28.74755917,0,92.5111078,28.47885195,11.83581209,35.63596411,24.26546827,0,0,0,160.83,66.82290882,20.11411937,0,37.25524173,28.18937814,0,14.21959508,31.18920547,0,0,42.63176658,51.5261915,0,13.38511409,32.515427,2.01367567,-1.024854437,6.926914061,-6.797222421,1.928629032,2.859458848,0.551724138,42,3,13,1,4,5,2,0,2,13,3,13,5,0,3,3,7,1.3386,138.3454,0,2,2,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,14,1,4.23,12.57377929,0.173637566,12.57377929,0.173637566,0.64998558,299.761,285.649,299.0825397,106,0,0.227755551,-0.62300365,0.62300365,0.227755551,1.19047619,1.952380952,2.666666667,35.4956914,10.00524083,2.237040109,-2.101845925,2.274814559,-2.291484644,6.311208085,-0.438946389,2.27183897,738.442238,14.81962648,11.50654889,12.26247784,10.18587185,6.610875446,6.988839919,4.721214885,5.157650665,3.347712004,3.582809107,2.356084501,2.528187525,-2.33,13.64383516,5.57792482,2.623168555,127.5444518,10.52404163,0,5.835619786,12.25644141,0,0,0,4.992404733,4.738833854,0,29.8000411,30.33183534,17.63375679,11.25083777,4.738833854,28.83563095,0,5.316788604,4.992404733,0,13.59242839,69.88772587,0,0,5.316788604,5.687386275,0,11.60093989,29.87856703,0,5.207253025,11.12690298,53.52334128,5.022633314,0,0,50.46,0,5.207253025,0,6.544756406,16.5699381,21.55312311,0,19.18040612,36.39820241,10.30919334,11.60093989,0.951219136,6.102700731,4.509280833,16.11975254,2.917197027,0.624540344,14.95308499,0,0.173637566,1.759697954,0.125,21,1,4,0,1,1,2,0,2,3,1,5,1,0,0,0,3,2.9507,85.7541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,4.27,1,6.48,13.31702838,-2.89477903,13.31702838,0.103720343,0.332217488,444.44,420.248,444.1532657,170,0,0.255450868,-0.509648748,0.509648748,0.255450868,1.15625,1.78125,2.34375,16.35435698,9.549550216,2.667947551,-2.530720371,2.548209103,-2.681053076,6.245083296,-0.161788519,2.060772795,1136.740039,23.85892465,17.60417887,17.60417887,14.86670828,10.01570081,10.01570081,8.792051569,8.792051569,6.995803337,6.995803337,5.582348035,5.582348035,-3.21,22.00076097,6.89335882,2.478484044,182.4292369,31.26630445,22.84094611,11.38429576,5.783244946,5.907179729,0,19.28352128,0,0,0,19.05647134,31.64306857,11.49101058,23.62716475,39.91624853,17.47366962,0,4.899909731,17.56947957,30.58850127,14.09534397,51.99054299,0,5.749511833,5.733667477,0,5.749511833,0,79.74841832,9.589074368,11.83581209,28.76308341,40.86364001,0,0,0,181.62,75.63878459,39.91624853,0,11.31296332,5.563451492,0,25.06162076,19.05647134,0,0,5.733667477,0,0,39.81791595,55.03371799,1.362812716,-8.859922348,3.166469518,-1.589559713,1.676689867,2.975209358,0.409090909,32,7,10,3,0,3,1,0,1,9,6,10,2,0,0,0,4,-0.3476,109.7749,0,4,3,0,0,0,0,1,0,0,3,3,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,9.61,1,10.97,14.68575726,-1.753201101,14.68575726,0.03784015,0.015472459,1209.421,1124.749,1208.645462,472,0,0.245330208,-0.507966645,0.507966645,0.245330208,0.701149425,1.275862069,1.850574713,16.25858646,9.983376465,2.398504909,-2.306367548,2.223082144,-2.61301746,5.992914445,-0.141754446,1.22037594,3042.08797,63.32032227,49.7569952,49.7569952,41.52542625,29.52772012,29.52772012,22.7944437,22.7944437,14.93883458,14.93883458,10.52642463,10.52642463,-9.08,67.05156335,32.43202462,20.00197931,503.6685171,83.98247508,60.1260793,5.959554569,59.07179729,0,0,53.35465545,4.983978521,0,0,58.02678414,93.03130484,68.61416778,18.62813003,58.15842663,75.93427679,5.409283606,73.01973133,17.56947957,159.6242913,26.24115118,84.07277474,0,5.749511833,58.90155352,0,5.749511833,0,175.7139706,67.20783671,17.2450957,102.80609,67.25194377,0,10.90292493,0,429.04,108.2408873,58.15842663,0,99.81532375,48.01427647,5.516700718,41.68954165,45.16715638,19.91384147,68.1198216,11.14295108,0,0,151.2262653,56.09717889,7.621841389,-7.709247963,1.543444924,5.849189342,8.871328167,0,0.525423729,87,17,28,0,2,2,2,2,4,14,16,28,32,0,2,2,6,-1.22843,319.3501,0,1,1,0,0,3,2,1,0,0,10,10,0,0,0,2,13,1,0,1,1,2,0,0,0,0,0,10,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,1,9.64,1,9,9.480601852,-0.669907407,9.480601852,0.180178099,0.510156889,183.207,170.103,183.0895433,72,0,0.157261456,-0.504259875,0.504259875,0.157261456,1.307692308,2,2.538461538,16.30358267,10.09520283,2.078538592,-2.100482282,2.268519931,-2.159560934,5.407156228,0.177010917,2.835168262,288.1883451,9.844934983,7.358148644,7.358148644,6.147065708,3.993923173,3.993923173,2.821627034,2.821627034,1.781717076,1.781717076,1.058931007,1.058931007,-1.26,9.825178876,4.112564659,2.336081411,76.4587929,20.63637079,0,11.49902367,0,0,0,0,0,0,0,6.066367068,24.74385761,6.544756406,6.103966388,15.31958218,0,0,5.316788604,0,6.103966388,13.59242839,23.7625527,0,11.49902367,5.316788604,0,11.49902367,0,28.91201057,0,0,11.66741788,18.19910121,0,0,0,72.72,6.103966388,5.106527395,0,11.49902367,12.1082079,0,12.13273414,13.11403905,0,5.316788604,10.21305479,0,0,0,30.43030959,0.57375,-0.395314153,4.261851852,-0.669907407,0.406959562,1.725683894,0.333333333,13,4,4,0,0,0,1,0,1,4,4,4,3,0,0,0,1,0.3506,48.6581,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,12.99,1,7.96,13.39820467,-0.641358985,13.39820467,0.002374874,0.690288796,426.492,399.276,426.2067189,164,0,0.256555495,-0.385171513,0.385171513,0.256555495,1.225806452,2.032258065,2.838709677,19.14214881,9.911977065,2.264711829,-2.310205635,2.324830901,-2.373932529,5.794451546,0.129394262,1.23966727,1163.573357,21.53480495,17.68124141,17.68124141,15.00804039,11.06463106,11.06463106,8.722993144,8.722993144,6.770434872,6.770434872,4.976742477,4.976742477,-2.58,20.32979285,8.163633643,3.784882514,179.0335308,14.52953206,17.74559173,5.583020142,0,5.559266895,0,9.361636832,9.374393569,0,0,5.156663257,64.25009226,41.71738963,5.693927995,14.02003738,10.96924436,0,19.60765116,0,57.59447415,19.63426922,57.1458381,0,0,5.559266895,4.390415048,0,0,44.34844777,12.96557803,12.74095804,60.48087091,27.51673333,0,10.96924436,0,84.39,6.103966388,14.29147963,0,11.37648774,36.71173034,61.23426578,12.13273414,10.63346672,6.9237372,15.04055151,4.523094937,20.38140135,0,19.87712522,15.26708501,2.898062478,0.488565402,4.580546303,3.379614463,5.127599773,0,0.52173913,31,1,7,0,2,2,1,2,3,7,1,8,4,0,1,1,5,3.08132,113.5138,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,4.28,1,6.47,13.34813949,-3.023390141,13.34813949,0.028085317,0.261554585,460.439,436.247,460.1481803,176,0,0.255450868,-0.509648748,0.509648748,0.255450868,1.121212121,1.727272727,2.272727273,16.35646047,9.537901367,2.687019703,-2.54650424,2.560870944,-2.695237037,6.245359039,-0.173200689,2.102541529,1182.306622,24.78157438,17.97404219,17.97404219,15.20004161,10.078624,10.078624,9.061119589,9.061119589,7.036473228,7.036473228,5.603677183,5.603677183,-3.25,22.92662141,6.874357158,2.611852807,187.2234706,36.37283185,22.84094611,11.38429576,5.783244946,5.907179729,0,19.28352128,0,0,0,12.13273414,32.64889973,0,40.71922614,45.02277592,17.47366962,0,4.899909731,17.56947957,30.27164604,14.09534397,51.99054299,0,5.749511833,5.733667477,0,5.749511833,0,84.85494572,15.19012518,11.83581209,22.84517737,40.86364001,0,0,0,201.85,81.07144119,45.02277592,0,11.12690298,0,0,44.1180921,0,0,0,5.733667477,0,0,39.79806371,66.47554501,-1.880951364,-9.664242746,2.536863037,-1.87196712,1.253078756,2.853610719,0.409090909,33,8,11,3,0,3,1,0,1,10,7,11,2,0,0,0,4,-1.2436,110.9307,0,5,3,0,0,0,0,1,0,0,3,3,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,13.69,1,6.86,9.644321187,-0.077237835,9.644321187,0.077237835,0.308145469,504.636,464.316,504.3172518,200,0,0.227803311,-0.394534284,0.394534284,0.227803311,0.5,0.833333333,1.138888889,16.25922512,10.1127665,2.266546204,-2.325114855,2.342773256,-2.359028068,5.948931816,0.279190609,1.937972802,879.5223206,25.32985188,21.09448521,21.09448521,17.69373311,13.22801477,13.22801477,9.355580958,9.355580958,6.839870084,6.839870084,5.004720278,5.004720278,-2.54,26.52098433,13.13281202,6.049910617,211.765225,40.0257485,11.03340144,11.63572556,11.89667856,0,0,0,9.967957042,9.967957042,0,0,38.52492974,52.35805125,26.42752786,20.42610958,34.56580555,0,19.93591408,0,38.52492974,98.38521803,0,0,0,19.59963892,23.53240412,0,0,119.1476028,0,0,38.52492974,0,0,11.03340144,0,145.44,0,20.42610958,0,26.42752786,49.10910562,63.49803767,12.84164325,9.799819462,0,9.799819462,19.93591408,0,0,27.77925386,38.57728475,1.305648148,2.349613673,0,6.609832639,4.378366938,0,0.75,36,4,12,0,2,2,0,2,2,12,4,12,12,0,2,2,4,-0.0176,140.0252,0,4,4,0,0,4,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,12.3,0,0,9.374814815,-1.269675926,9.374814815,0.379182099,0.40619749,392.183,381.095,391.9992882,82,1,0.361713836,-0.456851756,0.536996594,0.290227007,1.153846154,1.769230769,2.230769231,25.89546024,9.948142229,2.379098476,-2.316808942,2.352982825,-2.455621117,6.627871497,-0.112385918,2.65939048,151.1036009,10.00807169,6.500720435,9.483682391,6.112590865,3.662604331,7.033559192,2.768343577,4.907015363,1.918492942,3.958402366,1.126028886,2.814578005,0.89025974,11.96225263,5.107030989,2.467625715,90.59526974,0,0,0,0,0,90.58894713,0,0,0,0,0,0,0,0,44.9031037,9.227097544,0,0,0,29.85186392,6.606881965,0,0,0,0,0,0,9.227097544,56.88485547,24.47699412,0,0,0,0,0,0,90.15,29.85186392,15.31958218,0,6.606881965,0,0,9.227097544,0,0,19.74013117,9.843390349,5.11875,2.099524124,0,36.81306847,-0.626033951,0,0,-4.472654321,-0.379182099,1.16875,1,13,4,5,0,1,1,0,0,0,6,4,7,2,0,1,1,1,-2.0187,41.3582,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,13.95,0,0,11.78734775,-0.082288176,11.78734775,0.082288176,0.734229612,288.431,260.207,288.2089301,116,0,0.15519729,-0.392551425,0.392551425,0.15519729,1.047619048,1.857142857,2.666666667,16.26889571,9.471878966,2.581502497,-2.572742,2.646181031,-2.507464328,5.912357719,-0.117506151,1.68834964,507.6957431,14.82806265,13.39906748,13.39906748,9.949160848,8.869572099,8.869572099,8.606513437,8.606513437,7.911977549,7.911977549,6.531778952,6.531778952,-0.63,13.99370923,4.439809488,1.775658963,127.5510373,5.106527395,0,5.783244946,0,0,0,4.794537184,0,0,0,19.42057893,79.60547054,6.420821623,6.103966388,9.901064579,5.783244946,0,0,28.58369908,71.31801377,0,11.64912464,0,0,0,0,0,0,16.99373873,4.794537184,28.58369908,65.21404738,11.64912464,0,0,0,37.3,0,9.901064579,0,16.93394733,11.70115099,37.51909858,31.25639102,0,6.076020107,13.8474744,0,0,0,11.78734775,10.44921089,1.885848017,2.574390262,0,10.70619977,4.763669979,0,0.842105263,21,1,2,4,0,4,0,0,0,2,1,2,0,3,0,3,4,3.8792,82.7168,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
